,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime,fname
631,2022-06-18,23:39:13.321058,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.3248743003304265,0.0025827769014836917,0.006174592555475159,10.0,309.81677865982056,E0W10-L16-30-10x.txt
635,2022-06-18,23:44:22.570778,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.32676961688381,0.004105608688620401,0.005958052998064003,10.0,309.24755215644836,E0W10-L16-30-10x.txt
640,2022-06-18,23:49:31.432132,1.0,100000.0,10.0,10.0,0.3,0.2731,0.0,3.0,0.3230182976592652,0.004488557860009894,0.006412469994226209,10.0,308.85899686813354,E0W10-L16-30-10x.txt
427,2022-06-18,19:30:19.114690,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.31797252791094754,0.004649048234219434,0.007081018425338224,10.0,314.1847469806671,E0W10-L16-30-10x.txt
430,2022-06-18,19:35:20.376649,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.3203007435533003,0.004872984173286621,0.006764704209166957,10.0,301.2600018978119,E0W10-L16-30-10x.txt
432,2022-06-18,19:40:22.655755,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.3184021381373559,0.005620263295951784,0.007021912777268817,10.0,302.27679467201233,E0W10-L16-30-10x.txt
437,2022-06-18,19:46:03.404893,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.3211861204015448,0.0066804591012888295,0.006665802932763178,10.0,340.7468686103821,E0W10-L16-30-10x.txt
439,2022-06-18,19:51:10.757512,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.3146740698519244,0.007907842683446499,0.007560533657754092,10.0,307.350448846817,E0W10-L16-30-10x.txt
442,2022-06-18,19:56:13.456040,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.31784543544423743,0.0067906791738075985,0.007104723049251639,10.0,302.6961205005646,E0W10-L16-30-10x.txt
445,2022-06-18,20:01:14.229371,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.3234109607411052,0.0029525679097376386,0.0063669510929734805,10.0,300.7709858417511,E0W10-L16-30-10x.txt
450,2022-06-18,20:06:14.992494,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.3187662144017021,0.005758013066302243,0.0069875092973100275,10.0,300.7608428001404,E0W10-L16-30-10x.txt
454,2022-06-18,20:11:15.748448,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.322322089713884,0.004218696323181446,0.006515644693732079,10.0,300.7538049221039,E0W10-L16-30-10x.txt
460,2022-06-18,20:16:19.376906,1.0,100000.0,10.0,10.0,0.3,0.2765,0.0,3.0,0.3226551303317396,0.0050374443562312635,0.006490438913042194,10.0,303.62606978416443,E0W10-L16-30-10x.txt
555,2022-06-18,22:10:23.739686,1.0,100000.0,10.0,10.0,0.3,0.2791,0.0,3.0,0.3099051463211356,0.006988644899663472,0.008314798641852007,10.0,632.2808225154877,E0W10-L16-30-10x.txt
562,2022-06-18,22:15:39.343738,1.0,100000.0,10.0,10.0,0.3,0.2791,0.0,3.0,0.31893247001742736,0.004742807695200849,0.006974474169531048,10.0,315.602343082428,E0W10-L16-30-10x.txt
